id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,file span,65,16,35,100,157,watch,baseline,monotonic-signal
g002,terminal width,98,17,43,26,127,watch,edge,drag-penalty
g003,argument risk,74,20,7,99,266,ship,recovery,confidence-floor
g004,report density,110,24,11,34,269,ship,negative,lane-boundary
g005,file span,43,28,36,92,126,watch,baseline,monotonic-signal
g006,terminal width,57,68,29,40,203,ship,edge,drag-penalty
g007,argument risk,68,55,6,61,289,ship,recovery,confidence-floor
g008,report density,33,51,38,33,87,hold,negative,lane-boundary
g009,file span,107,17,34,24,170,ship,baseline,monotonic-signal
g010,terminal width,59,37,13,67,220,ship,edge,drag-penalty
g011,argument risk,39,50,4,93,259,ship,recovery,confidence-floor
g012,report density,32,59,22,67,183,ship,negative,lane-boundary
g013,file span,76,66,29,59,256,ship,baseline,monotonic-signal
g014,terminal width,58,72,16,102,314,ship,edge,drag-penalty
g015,argument risk,96,42,32,42,222,ship,recovery,confidence-floor
g016,report density,31,65,42,60,126,watch,negative,lane-boundary
g017,file span,90,44,27,30,217,ship,baseline,monotonic-signal
g018,terminal width,79,36,21,63,230,ship,edge,drag-penalty
g019,argument risk,77,34,20,84,246,ship,recovery,confidence-floor
g020,report density,35,71,21,99,248,ship,negative,lane-boundary
g021,file span,62,22,23,25,124,watch,baseline,monotonic-signal
g022,terminal width,35,35,25,98,163,watch,edge,drag-penalty
g023,argument risk,113,9,7,33,256,ship,recovery,confidence-floor
g024,report density,111,68,20,91,389,ship,negative,lane-boundary
g025,file span,70,61,28,39,217,ship,baseline,monotonic-signal
g026,terminal width,97,64,34,60,280,ship,edge,drag-penalty
g027,argument risk,114,68,38,32,282,ship,recovery,confidence-floor
g028,report density,38,38,21,23,112,watch,negative,lane-boundary
g029,file span,91,25,14,66,256,ship,baseline,monotonic-signal
g030,terminal width,77,21,33,92,189,ship,edge,drag-penalty
g031,argument risk,30,22,23,66,101,hold,recovery,confidence-floor
g032,report density,106,25,19,58,263,ship,negative,lane-boundary
g033,file span,51,29,40,101,141,watch,baseline,monotonic-signal
